Iteration,Time Elapsed (s)
1,49.298
2,49.503
3,48.992
4,49.093
5,50.092
6,48.554
7,50.279
8,49.680
9,49.308
10,49.949
11,49.171
12,49.568
13,49.061
14,48.321
15,47.572
16,46.932
17,46.951
18,47.846
19,46.980
20,47.074
21,47.557
22,47.099
23,47.906
24,46.460
25,46.618
26,46.512
27,46.690
28,46.334
29,46.581
30,46.763
31,46.028
32,46.919
33,46.654
34,47.622
35,46.772
36,46.465
37,46.418
38,47.342
39,46.738
40,46.338
41,47.547
42,46.951
43,46.642
44,46.597
45,46.267
46,46.648
47,46.571
48,46.677
49,46.592
50,47.319
