Iteration,Time Elapsed (s)
1,47.018
2,44.924
3,44.897
4,55.469
5,51.375
6,50.626
7,50.201
8,51.926
9,51.726
10,50.022
11,48.766
12,48.658
13,45.716
14,46.898
15,46.647
16,46.236
17,45.686
18,45.409
19,46.380
20,45.971
21,45.175
22,46.084
23,45.004
24,45.233
25,45.531
26,46.472
27,44.760
28,45.020
29,44.774
30,44.870
31,44.556
32,45.236
33,45.961
34,44.610
35,46.193
36,46.197
37,44.759
38,45.095
39,45.239
40,45.736
41,46.955
42,46.074
43,45.783
44,44.852
45,45.317
46,44.899
47,45.964
48,44.906
49,45.017
50,46.116
